에피소드=1,아파트수=0, 병원수=2, 기지국수=1, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-64.0, 누적 만족도=100, 누적보상=-180.0
에피소드=2,아파트수=276, 병원수=265, 기지국수=262, ITS수=237, 수용 가능 인원=55100, 인구수=54701.0, 누적자본=289512226.0, 누적 만족도=92.0, 누적보상=-5101.0
에피소드=3,아파트수=254, 병원수=253, 기지국수=285, ITS수=248, 수용 가능 인원=50800, 인구수=50585.0, 누적자본=268521813.0, 누적 만족도=100, 누적보상=-7419.0
에피소드=4,아파트수=268, 병원수=277, 기지국수=249, ITS수=246, 수용 가능 인원=53600, 인구수=53408.0, 누적자본=286637830.0, 누적 만족도=86.0, 누적보상=-9073.0
에피소드=5,아파트수=0, 병원수=3, 기지국수=0, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-74.0, 누적 만족도=0, 누적보상=-900.0
에피소드=6,아파트수=267, 병원수=271, 기지국수=245, ITS수=257, 수용 가능 인원=53400, 인구수=53131.0, 누적자본=267960001.0, 누적 만족도=84.0, 누적보상=-6685.0
에피소드=7,아파트수=250, 병원수=275, 기지국수=280, ITS수=235, 수용 가능 인원=49900, 인구수=49545.0, 누적자본=254724076.0, 누적 만족도=100, 누적보상=-5797.0
에피소드=8,아파트수=266, 병원수=243, 기지국수=243, ITS수=288, 수용 가능 인원=53000, 인구수=52725.0, 누적자본=277748153.0, 누적 만족도=84.0, 누적보상=-15676.0
에피소드=9,아파트수=285, 병원수=244, 기지국수=242, ITS수=269, 수용 가능 인원=56700, 인구수=56338.0, 누적자본=296397955.0, 누적 만족도=68.0, 누적보상=-33422.0
에피소드=10,아파트수=261, 병원수=263, 기지국수=250, ITS수=266, 수용 가능 인원=52200, 인구수=52104.0, 누적자본=281131562.0, 누적 만족도=92.0, 누적보상=-5253.0
에피소드=11,아파트수=266, 병원수=256, 기지국수=252, ITS수=266, 수용 가능 인원=53200, 인구수=53133.0, 누적자본=265845873.0, 누적 만족도=90.0, 누적보상=-5640.0
에피소드=12,아파트수=252, 병원수=259, 기지국수=262, ITS수=267, 수용 가능 인원=50400, 인구수=50246.0, 누적자본=271980958.0, 누적 만족도=100, 누적보상=-18804.0
