에피소드=1,아파트수=0, 병원수=0, 기지국수=2, ITS수=6, 수용 가능 인원=0, 인구수=0.0, 누적자본=-10321.0, 누적 만족도=100, 누적보상=10400.0
에피소드=2,아파트수=246, 병원수=262, 기지국수=279, ITS수=253, 수용 가능 인원=48500, 인구수=48292.0, 누적자본=264939298.0, 누적 만족도=100, 누적보상=9315.0
에피소드=3,아파트수=284, 병원수=241, 기지국수=247, ITS수=268, 수용 가능 인원=56800, 인구수=56449.0, 누적자본=294326226.0, 누적 만족도=72.0, 누적보상=-14434.0
에피소드=4,아파트수=270, 병원수=262, 기지국수=261, ITS수=247, 수용 가능 인원=54000, 인구수=53675.0, 누적자본=283948732.0, 누적 만족도=95.0, 누적보상=4331.0
에피소드=5,아파트수=275, 병원수=267, 기지국수=226, ITS수=272, 수용 가능 인원=55000, 인구수=54654.0, 누적자본=272255976.0, 누적 만족도=59.0, 누적보상=-11893.0
에피소드=6,아파트수=269, 병원수=253, 기지국수=270, ITS수=248, 수용 가능 인원=53800, 인구수=53330.0, 누적자본=270330388.0, 누적 만족도=100, 누적보상=2450.0
에피소드=7,아파트수=261, 병원수=271, 기지국수=275, ITS수=233, 수용 가능 인원=52200, 인구수=52122.0, 누적자본=273110205.0, 누적 만족도=100, 누적보상=12519.0
에피소드=8,아파트수=266, 병원수=261, 기지국수=262, ITS수=251, 수용 가능 인원=53200, 인구수=52943.0, 누적자본=285610338.0, 누적 만족도=99.0, 누적보상=798.0
에피소드=9,아파트수=254, 병원수=267, 기지국수=246, ITS수=273, 수용 가능 인원=50600, 인구수=50373.0, 누적자본=262977066.0, 누적 만족도=96.0, 누적보상=11641.0
에피소드=10,아파트수=279, 병원수=270, 기지국수=237, ITS수=254, 수용 가능 인원=55800, 인구수=55148.0, 누적자본=300162074.0, 누적 만족도=68.0, 누적보상=-77893.0
에피소드=11,아파트수=0, 병원수=1, 기지국수=3, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-10319.0, 누적 만족도=100, 누적보상=10400.0
에피소드=12,아파트수=0, 병원수=2, 기지국수=1, ITS수=3, 수용 가능 인원=0, 인구수=0.0, 누적자본=-11370.0, 누적 만족도=100, 누적보상=10240.0
에피소드=13,아파트수=261, 병원수=273, 기지국수=268, ITS수=238, 수용 가능 인원=52000, 인구수=51409.0, 누적자본=256626455.0, 누적 만족도=100, 누적보상=-6127.0
