에피소드=1,아파트수=258, 병원수=257, 기지국수=259, ITS수=266, 수용 가능 인원=51500, 인구수=51269.0, 누적자본=264713948.0, 누적 만족도=100, 누적보상=18097.0
에피소드=2,아파트수=260, 병원수=285, 기지국수=234, ITS수=261, 수용 가능 인원=52000, 인구수=51732.0, 누적자본=270191567.0, 누적 만족도=80.0, 누적보상=-63.0
에피소드=3,아파트수=241, 병원수=251, 기지국수=261, ITS수=287, 수용 가능 인원=48100, 인구수=47901.0, 누적자본=251209360.0, 누적 만족도=100, 누적보상=20292.0
에피소드=4,아파트수=236, 병원수=288, 기지국수=270, ITS수=246, 수용 가능 인원=47200, 인구수=47009.0, 누적자본=243200393.0, 누적 만족도=100, 누적보상=13849.0
에피소드=5,아파트수=254, 병원수=257, 기지국수=259, ITS수=270, 수용 가능 인원=50800, 인구수=50514.0, 누적자본=258583245.0, 누적 만족도=100, 누적보상=22718.0
에피소드=6,아파트수=277, 병원수=253, 기지국수=260, ITS수=250, 수용 가능 인원=55000, 인구수=54567.0, 누적자본=290878786.0, 누적 만족도=91.0, 누적보상=9688.0
에피소드=7,아파트수=0, 병원수=2, 기지국수=2, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-91.0, 누적 만족도=100, 누적보상=100.0
에피소드=8,아파트수=245, 병원수=262, 기지국수=264, ITS수=269, 수용 가능 인원=48800, 인구수=48746.0, 누적자본=254578495.0, 누적 만족도=100, 누적보상=22158.0
에피소드=9,아파트수=268, 병원수=247, 기지국수=281, ITS수=244, 수용 가능 인원=53500, 인구수=53419.0, 누적자본=275001634.0, 누적 만족도=100, 누적보상=23703.0
에피소드=10,아파트수=245, 병원수=288, 기지국수=239, ITS수=268, 수용 가능 인원=49000, 인구수=48430.0, 누적자본=229842669.0, 누적 만족도=98.0, 누적보상=20667.0
에피소드=11,아파트수=277, 병원수=241, 기지국수=251, ITS수=271, 수용 가능 인원=54800, 인구수=54544.0, 누적자본=281129174.0, 누적 만족도=83.0, 누적보상=227.0
에피소드=12,아파트수=264, 병원수=271, 기지국수=266, ITS수=239, 수용 가능 인원=52600, 인구수=52337.0, 누적자본=264582823.0, 누적 만족도=100, 누적보상=20223.0
에피소드=13,아파트수=279, 병원수=242, 기지국수=254, ITS수=265, 수용 가능 인원=55300, 인구수=55079.0, 누적자본=283303511.0, 누적 만족도=84.0, 누적보상=-85.0
에피소드=14,아파트수=0, 병원수=1, 기지국수=2, ITS수=3, 수용 가능 인원=0, 인구수=0.0, 누적자본=-37.0, 누적 만족도=100, 누적보상=100.0
에피소드=15,아파트수=244, 병원수=265, 기지국수=267, ITS수=264, 수용 가능 인원=48800, 인구수=48576.0, 누적자본=270557322.0, 누적 만족도=100, 누적보상=18606.0
에피소드=16,아파트수=262, 병원수=249, 기지국수=270, ITS수=259, 수용 가능 인원=52400, 인구수=52173.0, 누적자본=268467306.0, 누적 만족도=100, 누적보상=23341.0
에피소드=17,아파트수=0, 병원수=3, 기지국수=1, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-117.0, 누적 만족도=100, 누적보상=-100.0
에피소드=18,아파트수=251, 병원수=274, 기지국수=261, ITS수=254, 수용 가능 인원=49800, 인구수=49385.0, 누적자본=248421610.0, 누적 만족도=100, 누적보상=21433.0
에피소드=19,아파트수=270, 병원수=286, 기지국수=248, ITS수=236, 수용 가능 인원=53900, 인구수=53629.0, 누적자본=275766817.0, 누적 만족도=84.0, 누적보상=10587.0
에피소드=20,아파트수=274, 병원수=281, 기지국수=243, ITS수=242, 수용 가능 인원=54500, 인구수=54179.0, 누적자본=284814181.0, 누적 만족도=78.0, 누적보상=-4012.0
에피소드=21,아파트수=259, 병원수=254, 기지국수=249, ITS수=278, 수용 가능 인원=51800, 인구수=51480.0, 누적자본=278990313.0, 누적 만족도=94.0, 누적보상=-229.0
에피소드=22,아파트수=0, 병원수=4, 기지국수=0, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-164.0, 누적 만족도=0, 누적보상=-900.0
에피소드=23,아파트수=264, 병원수=269, 기지국수=252, ITS수=255, 수용 가능 인원=52700, 인구수=52366.0, 누적자본=268979191.0, 누적 만족도=93.0, 누적보상=19022.0
에피소드=24,아파트수=266, 병원수=266, 기지국수=243, ITS수=265, 수용 가능 인원=53200, 인구수=52803.0, 누적자본=278176655.0, 누적 만족도=83.0, 누적보상=12400.0
에피소드=25,아파트수=240, 병원수=250, 기지국수=275, ITS수=275, 수용 가능 인원=48000, 인구수=47720.0, 누적자본=255592935.0, 누적 만족도=100, 누적보상=20662.0
에피소드=26,아파트수=256, 병원수=254, 기지국수=271, ITS수=259, 수용 가능 인원=50300, 인구수=49959.0, 누적자본=255301432.0, 누적 만족도=100, 누적보상=20365.0
에피소드=27,아파트수=262, 병원수=237, 기지국수=262, ITS수=279, 수용 가능 인원=52400, 인구수=51990.0, 누적자본=273243895.0, 누적 만족도=100, 누적보상=10822.0
에피소드=28,아파트수=267, 병원수=267, 기지국수=238, ITS수=268, 수용 가능 인원=53300, 인구수=53089.0, 누적자본=277946851.0, 누적 만족도=78.0, 누적보상=-779.0
에피소드=29,아파트수=224, 병원수=286, 기지국수=265, ITS수=265, 수용 가능 인원=44400, 인구수=43963.0, 누적자본=225660697.0, 누적 만족도=100, 누적보상=20439.0
에피소드=30,아파트수=0, 병원수=1, 기지국수=3, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-23.0, 누적 만족도=100, 누적보상=0.0
에피소드=31,아파트수=0, 병원수=1, 기지국수=2, ITS수=3, 수용 가능 인원=0, 인구수=0.0, 누적자본=-30.0, 누적 만족도=100, 누적보상=-100.0
에피소드=32,아파트수=270, 병원수=262, 기지국수=261, ITS수=247, 수용 가능 인원=53700, 인구수=53371.0, 누적자본=272011705.0, 누적 만족도=96.0, 누적보상=11602.0
에피소드=33,아파트수=0, 병원수=1, 기지국수=3, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-51.0, 누적 만족도=100, 누적보상=-100.0
에피소드=34,아파트수=0, 병원수=1, 기지국수=2, ITS수=3, 수용 가능 인원=0, 인구수=0.0, 누적자본=-48.0, 누적 만족도=100, 누적보상=100.0
에피소드=35,아파트수=274, 병원수=254, 기지국수=240, ITS수=272, 수용 가능 인원=54700, 인구수=54093.0, 누적자본=273738228.0, 누적 만족도=76.0, 누적보상=-12217.0
에피소드=36,아파트수=0, 병원수=4, 기지국수=0, ITS수=0, 수용 가능 인원=0, 인구수=0.0, 누적자본=-164.0, 누적 만족도=0, 누적보상=-900.0
에피소드=37,아파트수=0, 병원수=2, 기지국수=1, ITS수=2, 수용 가능 인원=0, 인구수=0.0, 누적자본=-58.0, 누적 만족도=100, 누적보상=-100.0
에피소드=38,아파트수=265, 병원수=240, 기지국수=278, ITS수=257, 수용 가능 인원=52800, 인구수=52758.0, 누적자본=270771392.0, 누적 만족도=100, 누적보상=23494.0
에피소드=39,아파트수=281, 병원수=267, 기지국수=255, ITS수=237, 수용 가능 인원=56200, 인구수=55743.0, 누적자본=299053486.0, 누적 만족도=82.0, 누적보상=-4530.0
에피소드=40,아파트수=265, 병원수=264, 기지국수=255, ITS수=256, 수용 가능 인원=52800, 인구수=52550.0, 누적자본=286117025.0, 누적 만족도=95.0, 누적보상=-6418.0
에피소드=41,아파트수=0, 병원수=1, 기지국수=3, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-46.0, 누적 만족도=100, 누적보상=100.0
에피소드=42,아파트수=269, 병원수=245, 기지국수=266, ITS수=260, 수용 가능 인원=53700, 인구수=53294.0, 누적자본=289462735.0, 누적 만족도=100.0, 누적보상=11504.0
에피소드=43,아파트수=0, 병원수=2, 기지국수=2, ITS수=1, 수용 가능 인원=0, 인구수=0.0, 누적자본=-85.0, 누적 만족도=100, 누적보상=0.0
에피소드=44,아파트수=274, 병원수=265, 기지국수=274, ITS수=227, 수용 가능 인원=54800, 인구수=54531.0, 누적자본=285559918.0, 누적 만족도=100, 누적보상=16996.0
에피소드=45,아파트수=267, 병원수=267, 기지국수=233, ITS수=273, 수용 가능 인원=53400, 인구수=53368.0, 누적자본=301381162.0, 누적 만족도=71.0, 누적보상=-55787.0
